Category,Clip Name,Clip Url,Edited,Filename,Theme,Portrait Version,Original Time in Seconds,Edited Time in Seconds,Extra Clip 1,Extra Clip 2,Updated Captions,Created By,Created Date
Crusader Kings II,sweden back sweden back sweden back ribs??,https://clips.twitch.tv/DreamyInventiveBeaverBudStar,,,,,10,,,,,asdfWENDYfdsa,"Dec 6, 2020"
Crusader Kings II,<maniacal laughter>,https://clips.twitch.tv/CooperativeNimbleWaspTBCheesePull,,,,,11,,,,,asdfWENDYfdsa,"Dec 8, 2020"
Crusader Kings II,It's Always Sunni In Iceland,https://clips.twitch.tv/MushyEncouragingLorisCeilingCat,,,,,6,,,,,asdfWENDYfdsa,"Dec 8, 2020"
Crusader Kings II,"wholesome chuckle, wholesome execution",https://clips.twitch.tv/SuaveFaintSandpiperBabyRage,,,,,21,,,,,guillotinegirl666,"Jan 1, 2021"
Science & Technology,muh but,https://clips.twitch.tv/BumblingAnnoyingHamburgerRedCoat,,,,,5,,,,,asdfWENDYfdsa,"Jan 11, 2021"
Tyranny,spidey sense,https://clips.twitch.tv/SleepySavoryShieldMingLee,,,,,19,,,,,asdfWENDYfdsa,"Jan 25, 2021"
Tyranny,murder tantrum,https://clips.twitch.tv/DeterminedCredulousQueleaRalpherZ,,,,,4,,,,,asdfWENDYfdsa,"Jan 26, 2021"
Tyranny,next on Ireland's Got Talent,https://clips.twitch.tv/BillowingSlipperyStingrayDAESuppy,,,,,7,,,,,asdfWENDYfdsa,"Jan 26, 2021"
Tyranny,BACKFLIPSSSSS OMG LOOK AT HIM GOOOOOOO,https://clips.twitch.tv/OnerousBenevolentMelonLeeroyJenkins,,,,,37,,,,,uxg0,"Jan 27, 2021"
Tyranny,BACKFLIP,https://clips.twitch.tv/LitigiousEnchantingMonitorVoHiYo,,,,,51,,,,,uxg0,"Jan 27, 2021"
Tyranny,wendy's gonna clip some sh*t,https://clips.twitch.tv/SpeedyTubularClipzDBstyle,,,,,8,,,,,asdfWENDYfdsa,"Jan 29, 2021"
Tyranny,Uhhhhh,https://clips.twitch.tv/FunnyWiseMochaTheRinger,,,,,7,,,,,asdfWENDYfdsa,"Jan 29, 2021"
Oxygen Not Included,so off topic ,https://clips.twitch.tv/BoredHorribleHamsterCorgiDerp-BxjRAvMw6Sc3Zir8,,,,,12,,,,,uxg0,"Feb 11, 2021"
Oxygen Not Included,fu*k you bubbles,https://clips.twitch.tv/FlirtyFuriousDinosaurHoneyBadger-uSf94GTYSAQPX98-,,,,,4,,,,,beanpire,"Feb 13, 2021"
Oxygen Not Included,3rd times the charm,https://clips.twitch.tv/BitterApatheticPlumberPeteZarollTie-TVmPUEPboAJbYp1N,,,,,28,,,,,beanpire,"Feb 13, 2021"
Oxygen Not Included,big brown emeralds,https://clips.twitch.tv/GlamorousToughCheeseKappaRoss-fWM9uZIfcztQMTSp,,,,,5,,,,,beanpire,"Feb 14, 2021"
Oxygen Not Included,Solid,https://clips.twitch.tv/SavoryHumbleDuckPipeHype-SoGIHjIWet_ntw2U,,,,,4,,,,,Lauraie,"Feb 17, 2021"
Oxygen Not Included,meow! meow!,https://clips.twitch.tv/AggressiveWildWaspGingerPower-WuxGkbzh8vTzzra1,,,,,11,,,,,asdfWENDYfdsa,"Feb 22, 2021"
Oxygen Not Included,what's open for business?,https://clips.twitch.tv/LovelyPunchyDeerUnSane-m9YEuS6Va8ZyQ4-Y,,,,,6,,,,,asdfWENDYfdsa,"Feb 25, 2021"
